date,low_vol_prob,high_vol_prob,state,open,high,low,close,volume,simple_ret,log_ret
2020-10-28,0.8919727916334382,0.10802720836643726,0,44.94,45.7,44.33,45.18,6157072,-0.0298475413356238,-0.0303020459544286
2020-10-29,0.8282637883218958,0.17173621167827557,0,44.63,46.66,44.57,46.25,4300088,0.0236830455953962,0.023406952918577
2020-10-30,0.717765094151006,0.28223490584911204,0,45.86,46.1899,44.73,45.49,5166099,-0.0164324324324324,-0.0165689423765214
2020-11-02,0.4667084678847175,0.5332915321154527,0,46.25,48.06,45.88,47.82,3675799,0.0512200483622773,0.0499514404482658
2020-11-03,0.41539934188297767,0.5846006581171099,0,48.25,49.03,47.66,48.73,3293458,0.0190296946884147,0.018850894825236
2020-11-04,0.3052531857865266,0.6947468142136223,0,47.95,48.34,46.2522,46.45,4542285,-0.0467884260209315,-0.0479183915955672
2020-11-05,0.27962292192003146,0.7203770780800165,0,46.9,49.45,46.88,48.97,4253017,0.0542518837459633,0.0528314004543784
2020-11-06,0.2786806658351313,0.7213193341646539,0,49.23,49.82,48.031,48.23,3061541,-0.0151112926281397,-0.0152266316333455
2020-11-09,0.27059667827958234,0.7294033217204439,0,51.59,54.18,51.54,52.12,9208254,0.0806551938627411,0.0775675181757639
2020-11-10,0.5526095095100224,0.44739049048998547,0,52.33,53.7,52.07,53.46,6148698,0.0257099002302378,0.0253849584541285
2020-11-11,0.7332773510836834,0.2667226489163703,0,53.5,53.605,52.02,52.21,4118487,-0.0233819678264122,-0.0236596632883118
2020-11-12,0.8429635784144499,0.15703642158558564,0,51.74,52.07,50.54,51.04,3468632,-0.0224095000957671,-0.0226644083859266
2020-11-13,0.9061870177233416,0.09381298227663623,0,50.27,52.13,50.2,51.97,3483195,0.0182210031347962,0.018056989983816
2020-11-16,0.9347744740402235,0.06522552595973122,0,53.55,53.94,52.14,53.93,4075611,0.0377140658071963,0.037020280328785
2020-11-17,0.97550188626375,0.024498113736053543,0,53.16,54.56,52.83,54.48,4794952,0.0101984053402557,0.0101467524921211
2020-11-18,0.9900073777211809,0.009992622278772222,0,54.65,56.275,54.53,55.3,5903454,0.015051395007342,0.0149392466870321
2020-11-19,0.9958880283137949,0.004111971686296432,0,54.91,55.49,53.92,55.34,3514002,0.0007233273056059,0.0007230658304909
2020-11-20,0.9977389795200937,0.002261020479902784,0,55.07,55.42,54.28,54.73,2871818,-0.0110227683411637,-0.0110839692029531
2020-11-23,0.9983513284624006,0.001648671537509431,0,55.28,56.29,55.28,55.94,4563309,0.0221085327973689,0.0218676826179868
2020-11-24,0.9986070660974811,0.0013929339024848827,0,57.0,58.18,56.61,57.73,4401732,0.0319985698963174,0.0314972812990285
2020-11-25,0.9989346692728833,0.0010653307270286122,0,57.45,57.45,56.165,56.43,4158453,-0.0225186211675038,-0.0227760370917934
2020-11-27,0.999076937686471,0.0009230623134342601,0,55.91,56.05,55.01,55.4,2847383,-0.0182527024632288,-0.0184213382278106
2020-11-30,0.9989822467161458,0.001017753283865105,0,54.89,55.0,52.8,53.01,8760639,-0.0431407942238267,-0.0440990187535234
2020-12-01,0.9995825517774188,0.0004174482224771061,0,54.43,54.43,52.9,53.53,4313121,0.0098094699113375,0.0097616694055752
2020-12-02,0.9997866703431049,0.0002133296566957714,0,53.32,53.565,52.69,53.2,3722954,-0.0061647674201381,-0.0061838480576911
2020-12-03,0.9998249957334859,0.00017500426667982393,0,52.99,53.889,52.8,53.6,3213895,0.0075187969924812,0.0074906717291576
2020-12-04,0.999749852385834,0.0002501476143588595,0,53.81,55.1,53.8,55.05,3294474,0.0270522388059699,0.0266927950919324
2020-12-07,0.9996962596026338,0.00030374039738679127,0,54.93,54.94,53.02,53.21,3602707,-0.0334241598546775,-0.0339955145604109
2020-12-08,0.999800797350545,0.00019920264934112107,0,52.9,54.67,52.8,54.55,3161546,0.0251832362337904,0.0248713636708017
2020-12-09,0.9999061660671911,9.38339327502691e-05,0,54.94,55.7499,54.35,54.66,3219097,0.0020164986251145,0.0020144682208421
2020-12-10,0.9999369457512622,6.305424891318822e-05,0,54.66,55.11,54.04,54.43,3401959,-0.0042078302231979,-0.0042167080538132
2020-12-11,0.9999398774923891,6.0122507832817896e-05,0,54.29,54.45,53.57,54.0,2674780,-0.0079000551166635,-0.0079314258818342
2020-12-14,0.9999263201885824,7.367981154739287e-05,0,54.6,54.76,53.03,53.06,3121894,-0.0174074074074073,-0.0175606978546806
2020-12-15,0.9999223531009847,7.764689899591482e-05,0,53.85,54.15,53.15,54.13,2335474,0.0201658499811534,0.0199652120992929
2020-12-16,0.9999352333317547,6.476666833680313e-05,0,54.03,54.1096,53.24,53.83,1948873,-0.0055422131904674,-0.0055576282360206
2020-12-17,0.999921591895129,7.840810468007549e-05,0,54.2,54.33,53.585,53.83,2222358,0.0,0.0
2020-12-18,0.9998563215617358,0.00014367843836293385,0,55.11,55.75,54.24,55.66,11536680,0.0339959130596321,0.0334308235248787
2020-12-21,0.9999175962364062,8.24037638036027e-05,0,54.05,55.2,53.73,55.08,4458842,-0.0104204096298957,-0.0104750822372905
2020-12-22,0.999943115344197,5.688465593378851e-05,0,55.01,55.27,54.44,54.67,2272556,-0.0074437182280319,-0.0074715609535461
2020-12-23,0.9999535216526415,4.647834739505264e-05,0,55.02,55.77,54.73,54.75,2251621,0.0014633254069873,0.0014622557897022
2020-12-24,0.999954218555368,4.5781444820871036e-05,0,54.92,54.9681,54.335,54.79,1074880,0.0007305936073058,0.000730326853714
2020-12-28,0.9999460645015625,5.393549858916709e-05,0,55.27,55.77,54.18,54.29,3664992,-0.0091257528746121,-0.0091676476329646
2020-12-29,0.9999309619669423,6.903803298652642e-05,0,54.5,54.82,53.85,54.33,2221992,0.00073678393811,0.0007365126460718
2020-12-30,0.9998747561441657,0.00012524385580199175,0,54.35,55.66,54.3,55.47,3790040,0.0209828823854223,0.0207657735037113
