timestamp,open,high,low,close,volume
2025-06-09,105784.41000000,110651.12000000,105368.27000000,110301.15000000,6581.24781856
2025-06-08,105619.02000000,106548.90000000,105028.30000000,105784.40000000,1998.61011035
2025-06-07,104398.00000000,106000.00000000,103969.70000000,105619.02000000,4141.10124271
2025-06-06,101570.20000000,105439.01000000,101132.91000000,104397.99000000,9677.25748525
2025-06-05,104753.37000000,105999.68000000,100345.73000000,101570.20000000,10627.57339852
2025-06-04,105443.95000000,106058.47000000,104202.00000000,104753.38000000,4505.03599201
2025-06-03,105909.79000000,106901.68000000,104910.01000000,105447.82000000,6486.45977780
2025-06-02,105697.93000000,106000.00000000,103685.23000000,105904.94000000,5818.90812007
2025-06-01,104645.87000000,105937.46000000,103800.81000000,105697.94000000,2369.92891564
2025-05-31,104033.00000000,104965.50000000,103110.01000000,104645.87000000,2403.60824408
2025-05-30,105572.58000000,106377.66000000,103634.48000000,104033.26000000,7866.16241154
2025-05-29,107819.26000000,108943.35000000,105315.00000000,105572.58000000,9305.58410478
2025-05-28,108978.45000000,109344.89000000,106790.16000000,107819.29000000,6474.20131287
2025-05-27,109464.33000000,110829.42000000,107536.41000000,108978.46000000,8827.06917845
2025-05-26,109048.41000000,110474.41000000,108706.04000000,109464.32000000,4641.38117417
2025-05-25,107794.01000000,109371.04000000,106632.35000000,109048.68000000,2996.99842740
2025-05-24,107332.08000000,109517.79000000,106895.77000000,107794.01000000,2611.35605460
2025-05-23,111722.54000000,111824.07000000,106800.01000000,107329.61000000,9638.23489571
2025-05-22,109697.19000000,112000.00000000,109217.23000000,111722.53000000,11250.38756124
2025-05-21,106883.24000000,110788.98000000,106128.14000000,109699.54000000,18333.91491262
2025-05-20,105616.21000000,107355.00000000,104209.18000000,106883.24000000,8804.38724819
2025-05-19,106488.77000000,107137.68000000,102105.00000000,105616.18000000,10104.32339011
2025-05-18,103162.53000000,106692.97000000,103130.95000000,106473.46000000,4130.60889099
2025-05-17,103500.03000000,103741.98000000,102612.00000000,103161.07000000,1848.95251021
2025-05-16,103786.40000000,104616.71000000,103125.51000000,103500.03000000,6881.65708111
2025-05-15,103540.91000000,104200.00000000,101400.01000000,103786.43000000,7563.00946962
2025-05-14,104131.20000000,104373.00000000,102603.27000000,103545.38000000,7628.70177301
2025-05-13,102800.22000000,105038.53000000,101447.78000000,104131.06000000,8727.89105836
2025-05-12,104137.58000000,105787.37000000,100703.71000000,102800.21000000,11005.40673978
2025-05-11,104817.83000000,104980.89000000,103360.22000000,104137.62000000,3055.22813204
2025-05-10,102986.94000000,104997.00000000,102831.41000000,104821.19000000,3104.17143581
2025-05-09,103252.20000000,104352.60000000,102330.76000000,102986.96000000,7318.60440182
2025-05-08,97058.33000000,104176.05000000,96888.25000000,103253.49000000,15379.43544074
2025-05-07,96843.84000000,97738.05000000,95800.00000000,97058.32000000,8328.69875473
2025-05-06,94733.99000000,96916.25000000,93363.28000000,96839.17000000,6164.34738969
2025-05-05,94272.54000000,95218.82000000,93500.01000000,94733.99000000,5181.01206583
2025-05-04,95865.47000000,96312.51000000,94151.67000000,94272.55000000,2834.39686495
2025-05-03,96929.81000000,96974.78000000,95765.13000000,95861.33000000,2077.55675998
2025-05-02,96524.98000000,97948.56000000,96369.69000000,96929.81000000,5709.61012071
2025-05-01,94182.55000000,97546.99000000,94136.79000000,96524.98000000,8334.02681063
2025-04-30,94271.08000000,95263.74000000,92911.88000000,94182.54000000,6511.31778605
2025-04-29,95042.56000000,95499.00000000,93761.26000000,94271.09000000,5979.94472886
2025-04-28,93780.56000000,95652.66000000,92829.44000000,95042.57000000,7348.48837250
2025-04-27,94666.64000000,95351.11000000,93654.77000000,93780.57000000,2304.93789541
2025-04-26,94707.79000000,95273.52000000,93903.01000000,94666.64000000,2253.98942317
2025-04-25,94021.97000000,95976.34000000,92880.01000000,94708.79000000,14148.63394750
2025-04-24,93740.93000000,94061.02000000,91685.18000000,94021.96000000,9320.80861820
2025-04-23,93486.57000000,94686.00000000,91902.19000000,93740.92000000,12538.32136507
2025-04-22,87513.53000000,93952.62000000,87077.17000000,93489.10000000,19460.09432868
2025-04-21,85177.33000000,88575.62000000,85135.98000000,87522.07000000,12603.75828155
2025-04-20,85074.59000000,85319.21000000,83972.82000000,85177.34000000,1812.14325365
2025-04-19,84466.47000000,85625.00000000,84353.45000000,85074.99000000,1683.30746873
2025-04-18,84961.97000000,85150.94000000,84287.06000000,84466.47000000,1884.07668707
2025-04-17,84028.71000000,85494.94000000,83711.69000000,84961.97000000,5865.70077325
2025-04-16,83622.52000000,85526.40000000,83088.02000000,84028.72000000,8246.73748903
